reviewID,hotelid,userName,overall,roomComfort,staffMetNeeds,cleanRoom,facilitiesMetExpectations,ageRangeID,tripPurposeID,travelAgent,meetingPlanner,BPGStatusID,guestFrom,arrivalMonth,datePosted,recommend,everyoneShouldKnow,frequencyID,title,comment
10050940,3125,Fred92,3,3,3,5,2,,4,FALSE,FALSE,2,,8/[YEAR-0],9/2/[YEAR-0],FALSE,Nice place,2,"Nice building, Lack of Hospitality","The mumbling amongst the front desk staff when I checked in was the first indicator. Area near front door is cramped; Any interaction was like a retail store. Vending machines on two floors had water, but nothing else. Refrigerator and microwave are essentials for me."
10051328,33,Visiting2,4,2,5,5,3,,6,FALSE,FALSE,2,,8/[YEAR-0],9/2/[YEAR-0],TRUE,,,Room Temperature,In a August [YEAR-0] stay at the hotel the room temperature was too cold and couldn't be adjusted. We set the thermostat to 70 deg. The fan cycled between the loud high speed and low all night but the temperature didn't go up. The engineer came to service it and said that the default setting had been changed from 72 to 68 deg and at 68 the fan would remain on low speed and wouldn't cycle to high speed. He said all the room thermostats defaulted to 68 deg and there was no way to increase the room temperature. So there was no point in switching rooms during our six day stay.
10053647,814,Goalie59,5,5,5,5,5,5,6,FALSE,FALSE,2,"Cleveland, Ohio",8/[YEAR-0],9/2/[YEAR-0],TRUE,"Great service, ideal location and very clean",2,Both the staff and hotel accommodations were excellent,"We reserved 4 rooms for 13 people, all who were family members. My wife and I requested a suite so we could have a little more room to have everyone meet to converse and mingle. We were upgraded into the Presidential Suite much to our surprise with an oceanfront room. It by far exceeded anything we would have ever anticipated or expected. The staff were very polite and were able to meet or exceed any request we had. I would like to recognize two people in particular...Robert who helped immensely with loading and unloading our vehicles and finding us places to park. He also helped with suggestions of where to eat and what was going on in Virginia Beach in case we were interested in attending. The other was Tia at the front desk who resolved an issue with my vehicle in the parking lot. Both employees acted professionally yet treated us like they've known us for years. Both employees should be commended for their representation of Belvoir."
10058552,3616,HRB47,5,5,5,5,5,6,4,FALSE,FALSE,3,"Annapolis, MD",8/[YEAR-0],9/2/[YEAR-0],TRUE,Great aLocation in Stamford,4,Great Location,"Great location in downtown Stamfrod, Ct. Convienent to transportation, dining, shopping and let us not forget work. Staff is freindly and always pleasant."
10059292,1776,Natashka6,3,3,3,2,4,2,4,FALSE,FALSE,2,"New York, NY",8/[YEAR-0],9/2/[YEAR-0],FALSE,Do not stay in a room that has a connecting door to another room,3,Sub-par Grandbourne,I travel often both for business & pleasure. I've stayed in several Grandbournes all over the world & this Belvoir was by far the worst of them all.
10060439,270,Ochick,3,4,3,2,2,3,6,FALSE,FALSE,3,"Lansdale, PA, USA",8/[YEAR-0],9/2/[YEAR-0],TRUE,Dont go for the pool.,2,Mixed impressions,"The front desk, everyone near the front desk, and the restaurant were wonderful. The rooms were normal and beds lovely of course. We stayed four days and had to swipe towels from the hall cart to get new ones and our room wasnt always made up (also room service apparently dlesnt take dirty dishes away). The club lounge is pretty minimal in offerings and as I had a baby with me who needs milk, when I asked for milk they were distinctly rude. during interem hours at the lounge there is only water and espresso. (No milk for coffee available..) I learned to take the milk in the morning for the cereal and store it in the rented fridge."
10065961,1751,peej01,2,2,3,4,2,5,2,FALSE,FALSE,2,"Detroit, MI, USA",8/[YEAR-0],9/2/[YEAR-0],FALSE,They are chronically understaffed and the staff has no leadership.,4,"I'm back, but not happy about it.","Well, kids, I had to come back to the area on business, and gotta say, again..not a great stay. The bedside lamp fixture (closest to entryway) is broken...why is it left like this? Anybody who walks in can immediately see this. I had to fix my toilet twice (what IS that contraption?)...I reported the toilet upon leaving, but this lamp issue should have been caught by the cleaning staff. Speaking of staff.....you seem to have one diligent pregnant woman waiting tables AND doing all the room service deliveries????"
10070463,756,Richard42,4,4,4,4,4,3,4,FALSE,FALSE,1,"Framingham, MA, USA",8/[YEAR-0],9/2/[YEAR-0],TRUE,,1,"Shuttle Drivers Were Great, But There Was A Glitch","This was a business trip for me and I needed to get to and from my meetings each day. The shuttle drivers were helpful, friendly and knowledgeable of the local public transportation options. BUT the front desk staff couldn't fix a glitch - on my last day I did NOT have access to the 6th floor Club Lounge (my card did not work to open the door). I was counting on that for breakfast before my meeting and couldn't wait around for them to investigate and send a replacement. That was frustrating."
10070626,1130,daftu,5,5,5,5,5,3,6,FALSE,FALSE,2,,8/[YEAR-0],9/2/[YEAR-0],TRUE,,2,tthis hotel was great,Hotel was clean in good locationi
10071116,468,LaurenT,4,5,5,4,4,4,6,FALSE,FALSE,2,"Saratoga, NY, USA",8/[YEAR-0],9/2/[YEAR-0],TRUE,Be sure to bring your AAA card! 20% discount is available at the counter service restaurants!,2,Dolphin is a winner,"Ideal location for a Disney vacation! The staff was very friendly and attentive, the room comfortable and the amenities extensive. We'll surely be visiting again!"
